SKU,名称,月份,老表销售额,重算销售额,老表毛利,重算毛利,差异,差异原因
SP001,东方树叶青柑普洱500ml,2026-06,,85.00,,28.33,,"老表不分月,无对应月度数"
SP001,东方树叶青柑普洱500ml,2026-07,,863.60,,276.93,,"老表不分月,无对应月度数"
SP001,东方树叶青柑普洱500ml,合计,948.60,948.60,305.27,305.27,+0.00,一致(<1%)
SP002,东方树叶茉莉500ml,2026-06,,115.00,,38.33,,"老表不分月,无对应月度数"
SP002,东方树叶茉莉500ml,2026-07,,948.40,,308.40,,"老表不分月,无对应月度数"
SP002,东方树叶茉莉500ml,合计,1063.40,1063.40,346.73,346.73,-0.00,一致(<1%)
SP003,茶派蜜桃乌龙500ml,2026-06,,40.00,,13.33,,"老表不分月,无对应月度数"
SP003,茶派蜜桃乌龙500ml,2026-07,,695.80,,222.47,,"老表不分月,无对应月度数"
SP003,茶派蜜桃乌龙500ml,合计,735.80,735.80,235.80,235.80,+0.00,"负库存:销量>入库量,移动加权沿用最近均价"
SP004,娃哈哈AD钙原味500ml,2026-06,,80.00,,33.07,,"老表不分月,无对应月度数"
SP004,娃哈哈AD钙原味500ml,2026-07,,424.40,,169.20,,"老表不分月,无对应月度数"
SP004,娃哈哈AD钙原味500ml,合计,504.40,504.40,202.27,202.27,-0.00,一致(<1%)
SP005,娃哈哈苏打水柠檬味500ml,2026-06,,71.00,,25.13,,"老表不分月,无对应月度数"
SP005,娃哈哈苏打水柠檬味500ml,2026-07,,400.30,,139.43,,"老表不分月,无对应月度数"
SP005,娃哈哈苏打水柠檬味500ml,合计,471.30,471.30,164.57,164.57,+0.00,一致(<1%)
SP006,和其正550ml,2026-06,,44.50,,13.70,,"老表不分月,无对应月度数"
SP006,和其正550ml,2026-07,,394.60,,142.60,,"老表不分月,无对应月度数"
SP006,和其正550ml,合计,439.10,439.10,156.30,156.30,+0.00,一致(<1%)
SP007,统一双萃柠檬茶500ml,2026-06,,21.00,,8.20,,"老表不分月,无对应月度数"
SP007,统一双萃柠檬茶500ml,2026-07,,250.60,,92.73,,"老表不分月,无对应月度数"
SP007,统一双萃柠檬茶500ml,合计,271.60,271.60,100.93,100.93,-0.00,一致(<1%)
SP008,统一海之言500ml,2026-06,,112.50,,39.17,,"老表不分月,无对应月度数"
SP008,统一海之言500ml,2026-07,,723.50,,245.37,,"老表不分月,无对应月度数"
SP008,统一海之言500ml,合计,836.00,836.00,284.53,284.53,-0.00,一致(<1%)
SP009,健力宝橙味560ml/美汁源果粒橙450ml,2026-06,,130.50,,52.43,,"老表不分月,无对应月度数"
SP009,健力宝橙味560ml/美汁源果粒橙450ml,2026-07,,783.30,,299.74,,"老表不分月,无对应月度数"
SP009,健力宝橙味560ml/美汁源果粒橙450ml,合计,913.80,913.80,352.17,352.17,-0.00,"一码多品:该编码挂了多个商品,成本为混合价(老表编码错误);多批进价不同:重算=移动加权,老表=全期加权"
SP010,康师傅冰红茶1L/脉动青柠味600ml,2026-06,,380.00,,143.01,,"老表不分月,无对应月度数"
SP010,康师傅冰红茶1L/脉动青柠味600ml,2026-07,,2315.40,,843.02,,"老表不分月,无对应月度数"
SP010,康师傅冰红茶1L/脉动青柠味600ml,合计,2695.40,2695.40,985.41,986.03,+0.62,"一码多品:该编码挂了多个商品,成本为混合价(老表编码错误);多批进价不同:重算=移动加权,老表=全期加权"
SP011,康师傅绿茶1L/美汁源果粒奶优草莓味500ml,2026-06,,75.00,,25.56,,"老表不分月,无对应月度数"
SP011,康师傅绿茶1L/美汁源果粒奶优草莓味500ml,2026-07,,967.00,,312.32,,"老表不分月,无对应月度数"
SP011,康师傅绿茶1L/美汁源果粒奶优草莓味500ml,合计,1042.00,1042.00,341.64,337.88,-3.76,"一码多品:该编码挂了多个商品,成本为混合价(老表编码错误);多批进价不同:重算=移动加权,老表=全期加权"
SP012,康师傅冰糖雪梨1L/茶派柚子绿茶500ml,2026-06,,10.00,,3.48,,"老表不分月,无对应月度数"
SP012,康师傅冰糖雪梨1L/茶派柚子绿茶500ml,2026-07,,215.60,,68.93,,"老表不分月,无对应月度数"
SP012,康师傅冰糖雪梨1L/茶派柚子绿茶500ml,合计,225.60,225.60,72.41,72.41,-0.00,"一码多品:该编码挂了多个商品,成本为混合价(老表编码错误);多批进价不同:重算=移动加权,老表=全期加权"
SP013,红牛250ml,2026-06,,18.00,,4.75,,"老表不分月,无对应月度数"
SP013,红牛250ml,2026-07,,141.80,,35.80,,"老表不分月,无对应月度数"
SP013,红牛250ml,合计,159.80,159.80,40.55,40.55,+0.00,一致(<1%)
SP014,百事可乐罐装330ml,2026-06,,3.00,,1.29,,"老表不分月,无对应月度数"
SP014,百事可乐罐装330ml,2026-07,,123.80,,50.34,,"老表不分月,无对应月度数"
SP014,百事可乐罐装330ml,合计,126.80,126.80,51.63,51.63,-0.00,一致(<1%)
SP015,泰奇八宝粥370ml,2026-06,,5.00,,1.33,,"老表不分月,无对应月度数"
SP015,泰奇八宝粥370ml,2026-07,,81.20,,18.87,,"老表不分月,无对应月度数"
SP015,泰奇八宝粥370ml,合计,86.20,86.20,20.20,20.20,+0.00,一致(<1%)
SP016,加多宝330ml,2026-06,,7.00,,2.75,,"老表不分月,无对应月度数"
SP016,加多宝330ml,2026-07,,125.10,,46.47,,"老表不分月,无对应月度数"
SP016,加多宝330ml,合计,132.10,132.10,49.23,49.22,-0.00,一致(<1%)
SP017,椰泰燕麦牛奶360ml,2026-06,,12.00,,4.42,,"老表不分月,无对应月度数"
SP017,椰泰燕麦牛奶360ml,2026-07,,76.20,,26.91,,"老表不分月,无对应月度数"
SP017,椰泰燕麦牛奶360ml,合计,88.20,88.20,31.32,31.32,-0.00,一致(<1%)
SP018,轻上椰子水360ml,2026-06,,54.00,,13.88,,"老表不分月,无对应月度数"
SP018,轻上椰子水360ml,2026-07,,217.60,,52.64,,"老表不分月,无对应月度数"
SP018,轻上椰子水360ml,合计,271.60,271.60,66.52,66.52,+0.00,一致(<1%)
SP019,景田矿泉水560ml,2026-06,,116.00,,88.96,,"老表不分月,无对应月度数"
SP019,景田矿泉水560ml,2026-07,,1035.00,,681.09,,"老表不分月,无对应月度数"
SP019,景田矿泉水560ml,合计,1151.00,1151.00,750.93,770.05,+19.11,"多批进价不同:重算=移动加权,老表=全期加权"
SP020,罗伯克醇香拿铁410ml,2026-06,,143.00,,52.25,,"老表不分月,无对应月度数"
SP020,罗伯克醇香拿铁410ml,2026-07,,403.10,,143.23,,"老表不分月,无对应月度数"
SP020,罗伯克醇香拿铁410ml,合计,546.10,546.10,195.47,195.48,+0.00,一致(<1%)
SP021,统一阿萨姆原味500ml,2026-06,,90.00,,31.33,,"老表不分月,无对应月度数"
SP021,统一阿萨姆原味500ml,2026-07,,760.70,,257.94,,"老表不分月,无对应月度数"
SP021,统一阿萨姆原味500ml,合计,850.70,850.70,290.29,289.27,-1.01,"多批进价不同:重算=移动加权,老表=全期加权"
SP022,东鹏特饮500ml,2026-06,,375.00,,118.75,,"老表不分月,无对应月度数"
SP022,东鹏特饮500ml,2026-07,,2371.20,,714.12,,"老表不分月,无对应月度数"
SP022,东鹏特饮500ml,合计,2746.20,2746.20,832.87,832.87,-0.00,一致(<1%)
SP023,乐虎500ml,2026-06,,40.00,,13.67,,"老表不分月,无对应月度数"
SP023,乐虎500ml,2026-07,,522.00,,169.79,,"老表不分月,无对应月度数"
SP023,乐虎500ml,合计,562.00,562.00,183.46,183.46,-0.00,一致(<1%)
SP024,百事可乐瓶装500ml,2026-06,,105.00,,33.54,,"老表不分月,无对应月度数"
SP024,百事可乐瓶装500ml,2026-07,,681.10,,236.02,,"老表不分月,无对应月度数"
SP024,百事可乐瓶装500ml,合计,786.10,786.10,269.56,269.56,+0.00,一致(<1%)
SP025,雪碧瓶装500ml,2026-06,,57.00,,18.21,,"老表不分月,无对应月度数"
SP025,雪碧瓶装500ml,2026-07,,528.70,,181.62,,"老表不分月,无对应月度数"
SP025,雪碧瓶装500ml,合计,585.70,585.70,199.82,199.83,+0.00,一致(<1%)
SP026,可口可乐500ml,2026-06,,129.00,,41.21,,"老表不分月,无对应月度数"
SP026,可口可乐500ml,2026-07,,439.10,,153.27,,"老表不分月,无对应月度数"
SP026,可口可乐500ml,合计,568.10,568.10,194.47,194.48,+0.00,一致(<1%)
SP027,康师傅茉莉蜜茶1L,2026-06,,45.00,,16.50,,"老表不分月,无对应月度数"
SP027,康师傅茉莉蜜茶1L,2026-07,,317.20,,111.37,,"老表不分月,无对应月度数"
SP027,康师傅茉莉蜜茶1L,合计,362.20,362.20,127.87,127.87,+0.00,一致(<1%)
SP028,捷虎能量900ml,2026-06,,70.00,,29.33,,"老表不分月,无对应月度数"
SP028,捷虎能量900ml,2026-07,,637.00,,258.80,,"老表不分月,无对应月度数"
SP028,捷虎能量900ml,合计,707.00,707.00,288.13,288.13,+0.00,一致(<1%)
SP029,伊利纯牛奶250ml,2026-06,,21.00,,6.38,,"老表不分月,无对应月度数"
SP029,伊利纯牛奶250ml,2026-07,,149.60,,42.35,,"老表不分月,无对应月度数"
SP029,伊利纯牛奶250ml,合计,170.60,170.60,48.73,48.73,+0.00,一致(<1%)
SP030,伊利优酸乳原味250ml,2026-06,,12.50,,5.62,,"老表不分月,无对应月度数"
SP030,伊利优酸乳原味250ml,2026-07,,112.80,,46.80,,"老表不分月,无对应月度数"
SP030,伊利优酸乳原味250ml,合计,125.30,125.30,52.42,52.42,-0.00,一致(<1%)
SP031,美年达罐装橙味330ml,2026-06,,9.00,,3.88,,"老表不分月,无对应月度数"
SP031,美年达罐装橙味330ml,2026-07,,43.00,,17.38,,"老表不分月,无对应月度数"
SP031,美年达罐装橙味330ml,合计,52.00,52.00,21.25,21.25,-0.00,一致(<1%)
SP032,美年达罐装葡萄味330ml,2026-07,,83.80,,34.26,,"老表不分月,无对应月度数"
SP032,美年达罐装葡萄味330ml,合计,83.80,83.80,34.26,34.26,-0.00,一致(<1%)
SP034,和成天下50元,2026-06,,50.00,,5.00,,"老表不分月,无对应月度数"
SP034,和成天下50元,2026-07,,1097.00,,107.00,,"老表不分月,无对应月度数"
SP034,和成天下50元,合计,1147.00,1147.00,112.00,112.00,-0.00,一致(<1%)
SP035,湘潭铺子枸杞50元,2026-07,,199.60,,19.60,,"老表不分月,无对应月度数"
SP035,湘潭铺子枸杞50元,合计,199.60,199.60,19.60,19.60,+0.00,一致(<1%)
SP036,品上发枸杞10元槟榔,2026-07,,394.60,,114.60,,"老表不分月,无对应月度数"
SP036,品上发枸杞10元槟榔,合计,394.60,394.60,114.60,114.60,+0.00,一致(<1%)
